<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2026.03.02	01:00:00	5300.25	5393.41	5300.25	5386.98	18055	0	18
2026.03.02	02:00:00	5387.00	5388.24	5340.99	5347.51	17242	0	20
2026.03.02	03:00:00	5347.48	5347.48	5303.19	5324.99	25149	0	18
2026.03.02	04:00:00	5324.93	5351.84	5317.04	5346.36	19995	0	20
2026.03.02	05:00:00	5346.66	5366.66	5344.52	5366.35	14522	0	18
2026.03.02	06:00:00	5366.29	5367.10	5345.29	5355.91	11057	0	18
2026.03.02	07:00:00	5355.92	5366.40	5340.72	5366.17	13880	0	20
2026.03.02	08:00:00	5366.14	5389.87	5363.68	5387.69	16430	0	18
2026.03.02	09:00:00	5387.74	5419.21	5385.00	5408.19	16707	0	18
2026.03.02	10:00:00	5408.20	5416.68	5391.33	5394.01	17867	0	18
2026.03.02	11:00:00	5394.05	5402.66	5386.08	5392.01	14271	0	18
2026.03.02	12:00:00	5392.11	5400.89	5379.08	5389.21	13525	0	20
2026.03.02	13:00:00	5389.31	5399.98	5375.20	5385.25	12669	0	22
2026.03.02	14:00:00	5385.49	5398.72	5378.86	5397.08	14147	0	22
2026.03.02	15:00:00	5397.07	5416.39	5381.90	5393.88	24725	0	22
2026.03.02	16:00:00	5393.89	5395.13	5306.56	5333.64	30349	0	22
2026.03.02	17:00:00	5333.57	5348.83	5308.29	5315.88	29658	0	22
2026.03.02	18:00:00	5315.24	5315.24	5260.39	5290.16	28797	0	22
2026.03.02	19:00:00	5290.07	5320.50	5286.92	5306.66	22499	0	22
2026.03.02	20:00:00	5306.73	5316.76	5289.60	5315.47	17650	0	22
2026.03.02	21:00:00	5315.69	5334.07	5313.93	5330.45	14380	0	22
2026.03.02	22:00:00	5330.48	5346.41	5328.33	5332.31	21160	0	22
2026.03.02	23:00:00	5333.18	5340.20	5321.61	5321.89	7987	0	22
2026.03.03	01:00:00	5323.08	5347.34	5322.59	5345.82	6795	0	22
2026.03.03	02:00:00	5345.84	5362.07	5337.00	5350.16	8249	0	22
2026.03.03	03:00:00	5350.11	5379.84	5338.13	5339.20	22608	0	22
2026.03.03	04:00:00	5339.42	5368.09	5332.85	5366.89	20461	0	22
2026.03.03	05:00:00	5366.88	5373.48	5358.97	5367.30	13324	0	22
2026.03.03	06:00:00	5367.29	5375.64	5359.36	5361.07	11514	0	22
2026.03.03	07:00:00	5361.06	5367.16	5305.18	5319.03	19501	0	24
2026.03.03	08:00:00	5319.12	5323.08	5279.06	5310.49	23963	0	22
2026.03.03	09:00:00	5310.35	5331.16	5305.90	5327.65	14587	0	21
2026.03.03	10:00:00	5327.66	5335.86	5290.24	5295.54	18623	0	24
2026.03.03	11:00:00	5295.55	5303.85	5226.26	5275.01	23901	0	22
2026.03.03	12:00:00	5274.92	5288.13	5237.94	5248.57	20224	0	22
2026.03.03	13:00:00	5248.58	5263.93	5074.05	5144.46	30008	0	22
2026.03.03	14:00:00	5144.59	5226.64	5138.42	5224.46	24153	0	22
2026.03.03	15:00:00	5224.49	5224.58	5127.27	5156.80	29484	0	22
2026.03.03	16:00:00	5156.72	5175.45	5015.95	5038.10	31057	0	22
2026.03.03	17:00:00	5038.78	5096.91	4996.08	5095.44	32875	0	22
2026.03.03	18:00:00	5095.38	5134.65	5090.49	5106.68	30509	0	22
2026.03.03	19:00:00	5107.33	5109.84	5065.18	5079.15	27244	0	22
2026.03.03	20:00:00	5079.14	5138.14	5079.03	5136.03	23887	0	22
2026.03.03	21:00:00	5135.88	5148.89	5099.33	5113.19	25029	0	22
2026.03.03	22:00:00	5113.22	5130.37	5085.88	5097.25	24963	0	22
2026.03.03	23:00:00	5096.98	5110.32	5083.51	5088.33	11431	0	25
2026.03.04	01:00:00	5101.64	5129.73	5083.86	5125.33	10763	0	22
2026.03.04	02:00:00	5125.35	5140.36	5106.00	5138.49	12383	0	22
2026.03.04	03:00:00	5138.52	5178.38	5138.45	5174.85	26479	0	24
2026.03.04	04:00:00	5174.87	5190.75	5153.99	5156.26	23209	0	22
2026.03.04	05:00:00	5156.24	5177.42	5141.24	5174.54	20872	0	22
2026.03.04	06:00:00	5174.50	5180.87	5152.33	5156.69	17635	0	22
2026.03.04	07:00:00	5156.81	5167.94	5152.06	5159.87	21224	0	25
2026.03.04	08:00:00	5159.86	5160.63	5121.36	5160.43	20763	0	22
2026.03.04	09:00:00	5160.46	5175.79	5158.23	5168.15	15289	0	22
2026.03.04	10:00:00	5168.07	5182.11	5147.74	5167.53	18323	0	22
2026.03.04	11:00:00	5167.53	5185.00	5159.11	5182.24	15928	0	22
2026.03.04	12:00:00	5182.22	5202.46	5179.49	5189.83	18085	0	22
2026.03.04	13:00:00	5189.83	5200.61	5187.60	5192.01	12825	0	22
2026.03.04	14:00:00	5192.07	5205.98	5156.31	5171.11	19832	0	22
2026.03.04	15:00:00	5171.21	5196.28	5167.53	5167.87	22027	0	22
2026.03.04	16:00:00	5167.88	5185.06	5138.63	5144.92	28948	0	22
2026.03.04	17:00:00	5144.76	5166.99	5131.21	5151.28	30031	0	22
2026.03.04	18:00:00	5151.31	5162.43	5138.31	5149.73	24421	0	22
2026.03.04	19:00:00	5149.70	5152.90	5120.20	5141.03	19796	0	24
2026.03.04	20:00:00	5141.04	5143.24	5109.11	5133.83	19943	0	22
2026.03.04	21:00:00	5134.00	5139.46	5123.34	5137.84	14808	0	25
2026.03.04	22:00:00	5137.51	5146.67	5123.63	5134.67	15849	0	22
2026.03.04	23:00:00	5134.68	5143.90	5129.61	5141.27	4919	0	26
2026.03.05	01:00:00	5146.26	5166.07	5144.62	5165.21	5650	0	27
2026.03.05	02:00:00	5165.20	5179.67	5159.39	5172.54	7050	0	24
2026.03.05	03:00:00	5172.55	5186.32	5167.39	5172.58	18648	0	22
2026.03.05	04:00:00	5172.59	5192.39	5171.71	5192.00	17629	0	22
2026.03.05	05:00:00	5191.98	5194.94	5178.28	5180.13	12839	0	22
2026.03.05	06:00:00	5180.08	5186.61	5166.23	5171.59	9917	0	24
2026.03.05	07:00:00	5171.63	5176.70	5148.34	5148.55	14997	0	22
2026.03.05	08:00:00	5148.58	5168.83	5120.81	5167.65	21310	0	22
2026.03.05	09:00:00	5167.66	5172.79	5158.92	5162.07	15710	0	24
2026.03.05	10:00:00	5162.04	5170.12	5137.58	5165.51	17731	0	22
2026.03.05	11:00:00	5165.50	5180.41	5153.78	5160.91	18775	0	22
2026.03.05	12:00:00	5160.89	5167.50	5146.26	5164.55	13820	0	22
2026.03.05	13:00:00	5164.54	5167.91	5156.94	5163.63	11051	0	22
2026.03.05	14:00:00	5163.65	5171.40	5160.84	5162.50	9918	0	22
2026.03.05	15:00:00	5162.66	5164.00	5083.83	5117.98	24219	0	22
2026.03.05	16:00:00	5118.00	5129.83	5090.83	5102.11	27016	0	22
2026.03.05	17:00:00	5101.43	5119.73	5061.86	5102.51	30919	0	22
2026.03.05	18:00:00	5102.50	5104.37	5054.20	5077.60	28740	0	22
2026.03.05	19:00:00	5077.63	5089.40	5054.95	5062.89	28783	0	22
2026.03.05	20:00:00	5062.72	5085.43	5050.85	5069.40	26800	0	22
2026.03.05	21:00:00	5069.34	5081.31	5055.94	5065.94	24640	0	24
2026.03.05	22:00:00	5065.93	5094.62	5061.67	5076.62	24644	0	20
2026.03.05	23:00:00	5076.40	5084.87	5072.09	5080.93	5979	0	22
2026.03.06	01:00:00	5082.86	5102.01	5081.89	5086.20	8279	0	25
2026.03.06	02:00:00	5086.13	5092.21	5074.16	5084.59	12383	0	24
2026.03.06	03:00:00	5084.56	5143.70	5066.27	5134.62	24166	0	22
2026.03.06	04:00:00	5134.44	5138.39	5122.08	5126.31	17445	0	22
2026.03.06	05:00:00	5126.31	5141.46	5124.38	5131.14	11789	0	22
2026.03.06	06:00:00	5131.10	5136.34	5126.21	5127.44	7106	0	22
2026.03.06	07:00:00	5127.39	5129.99	5114.02	5117.20	11968	0	22
2026.03.06	08:00:00	5117.31	5122.98	5109.18	5115.75	11835	0	22
2026.03.06	09:00:00	5115.72	5120.65	5105.69	5119.54	11383	0	22
2026.03.06	10:00:00	5119.61	5122.99	5096.31	5108.51	14483	0	22
2026.03.06	11:00:00	5108.52	5109.41	5083.40	5085.67	17252	0	22
2026.03.06	12:00:00	5085.67	5092.84	5075.75	5091.01	15595	0	22
2026.03.06	13:00:00	5091.19	5099.65	5062.77	5076.91	16502	0	22
2026.03.06	14:00:00	5076.87	5096.58	5076.14	5083.17	18207	0	24
2026.03.06	15:00:00	5083.15	5130.71	5065.49	5084.97	28784	0	22
2026.03.06	16:00:00	5085.10	5131.91	5081.04	5130.14	29919	0	22
2026.03.06	17:00:00	5130.15	5171.59	5127.81	5141.77	30476	0	22
2026.03.06	18:00:00	5141.98	5153.00	5125.97	5139.83	24281	0	22
2026.03.06	19:00:00	5139.95	5152.44	5128.82	5140.68	20615	0	24
2026.03.06	20:00:00	5140.69	5167.68	5138.63	5161.08	17734	0	22
2026.03.06	21:00:00	5161.06	5174.56	5156.61	5159.67	16736	0	22
2026.03.06	22:00:00	5159.72	5162.48	5149.45	5153.26	16598	0	22
2026.03.06	23:00:00	5152.85	5175.60	5150.86	5173.19	5557	0	24
2026.03.09	00:00:00	5178.13	5198.67	5103.63	5129.96	17945	0	28
2026.03.09	01:00:00	5129.81	5135.37	5044.44	5076.00	15776	0	20
2026.03.09	02:00:00	5076.01	5079.60	5028.44	5049.89	23671	0	22
2026.03.09	03:00:00	5049.62	5087.45	5014.75	5070.08	27169	0	22
2026.03.09	04:00:00	5070.18	5099.31	5055.54	5094.54	24253	0	22
2026.03.09	05:00:00	5094.56	5102.21	5081.74	5091.14	14714	0	22
2026.03.09	06:00:00	5091.15	5097.10	5085.19	5090.07	9111	0	22
2026.03.09	07:00:00	5090.08	5140.39	5081.02	5124.21	19425	0	22
2026.03.09	08:00:00	5124.06	5133.92	5096.82	5097.77	18544	0	22
2026.03.09	09:00:00	5097.81	5107.71	5088.44	5099.08	14312	0	22
2026.03.09	10:00:00	5099.05	5110.91	5086.94	5096.49	15228	0	22
2026.03.09	11:00:00	5096.51	5132.58	5094.93	5105.17	15954	0	22
2026.03.09	12:00:00	5105.16	5111.11	5083.38	5087.14	14462	0	22
2026.03.09	13:00:00	5087.15	5097.26	5079.68	5087.95	12235	0	22
2026.03.09	14:00:00	5088.08	5112.08	5088.08	5094.95	14775	0	22
2026.03.09	15:00:00	5094.97	5111.22	5067.28	5074.11	25549	0	22
2026.03.09	16:00:00	5074.10	5116.03	5060.71	5093.77	30920	0	22
2026.03.09	17:00:00	5093.77	5103.42	5079.47	5099.58	24157	0	22
2026.03.09	18:00:00	5099.68	5110.69	5094.71	5104.60	14656	0	22
2026.03.09	19:00:00	5104.61	5106.72	5089.05	5096.03	15391	0	22
2026.03.09	20:00:00	5096.02	5126.40	5092.45	5123.25	15467	0	24
2026.03.09	21:00:00	5123.26	5144.11	5118.45	5141.01	22488	0	22
2026.03.09	22:00:00	5140.98	5148.00	5134.21	5136.66	7793	0	22
2026.03.10	00:00:00	5140.47	5153.11	5117.63	5152.92	11382	0	24
2026.03.10	01:00:00	5152.99	5156.01	5135.83	5139.58	13691	0	22
2026.03.10	02:00:00	5139.62	5141.30	5124.77	5131.00	17428	0	22
2026.03.10	03:00:00	5130.99	5186.18	5124.58	5184.28	25117	0	22
2026.03.10	04:00:00	5184.27	5186.99	5163.85	5165.98	19050	0	22
2026.03.10	05:00:00	5165.99	5173.42	5155.75	5157.68	14555	0	22
2026.03.10	06:00:00	5157.51	5166.53	5154.35	5163.69	8533	0	22
2026.03.10	07:00:00	5163.71	5179.26	5163.70	5177.99	9987	0	22
2026.03.10	08:00:00	5178.09	5180.82	5171.69	5175.31	12094	0	24
2026.03.10	09:00:00	5175.30	5181.19	5158.50	5180.91	14214	0	22
2026.03.10	10:00:00	5181.01	5195.12	5174.99	5183.34	16010	0	22
2026.03.10	11:00:00	5183.39	5189.28	5180.49	5182.44	13010	0	24
2026.03.10	12:00:00	5182.43	5183.86	5156.45	5177.15	16495	0	22
2026.03.10	13:00:00	5177.16	5191.79	5171.81	5175.07	17155	0	22
2026.03.10	14:00:00	5175.08	5189.32	5162.46	5186.89	18364	0	22
2026.03.10	15:00:00	5186.93	5228.66	5185.93	5205.37	28398	0	22
2026.03.10	16:00:00	5205.36	5214.37	5185.34	5206.68	25176	0	22
2026.03.10	17:00:00	5206.64	5238.51	5203.18	5228.55	22502	0	22
2026.03.10	18:00:00	5228.81	5235.50	5222.63	5227.64	17469	0	22
2026.03.10	19:00:00	5227.61	5235.39	5223.60	5227.61	19592	0	22
2026.03.10	20:00:00	5227.64	5227.98	5160.50	5191.72	26724	0	22
2026.03.10	21:00:00	5191.75	5207.59	5179.81	5198.89	21962	0	22
2026.03.10	22:00:00	5198.43	5199.06	5191.72	5192.77	5662	0	22
2026.03.11	00:00:00	5186.99	5197.59	5183.20	5189.18	9888	0	24
2026.03.11	01:00:00	5189.23	5197.21	5187.67	5197.05	6945	0	22
2026.03.11	02:00:00	5197.06	5219.38	5186.78	5215.45	14843	0	22
2026.03.11	03:00:00	5215.43	5223.04	5208.46	5208.50	19473	0	22
2026.03.11	04:00:00	5208.49	5220.45	5194.10	5217.43	15236	0	22
2026.03.11	05:00:00	5217.41	5220.49	5199.23	5203.34	10588	0	22
2026.03.11	06:00:00	5203.35	5208.70	5199.61	5204.52	6236	0	22
2026.03.11	07:00:00	5204.54	5208.25	5190.69	5199.60	12060	0	24
2026.03.11	08:00:00	5199.61	5210.85	5191.45	5197.57	13144	0	24
2026.03.11	09:00:00	5197.56	5202.11	5184.55	5195.67	14511	0	22
2026.03.11	10:00:00	5195.65	5198.59	5175.29	5187.56	15063	0	22
2026.03.11	11:00:00	5187.54	5197.14	5179.59	5187.67	15787	0	22
2026.03.11	12:00:00	5187.65	5195.22	5177.19	5186.00	13059	0	22
2026.03.11	13:00:00	5186.09	5193.48	5175.69	5181.12	15727	0	20
2026.03.11	14:00:00	5181.11	5196.85	5166.41	5167.44	20694	0	22
2026.03.11	15:00:00	5167.39	5182.96	5149.20	5176.84	26271	0	22
2026.03.11	16:00:00	5176.85	5196.33	5174.49	5183.14	28400	0	22
2026.03.11	17:00:00	5183.08	5185.72	5164.05	5166.27	24260	0	22
2026.03.11	18:00:00	5166.29	5177.92	5163.57	5175.59	18368	0	22
2026.03.11	19:00:00	5175.60	5180.93	5154.80	5169.76	15880	0	22
2026.03.11	20:00:00	5169.73	5178.27	5169.23	5172.54	14434	0	24
2026.03.11	21:00:00	5172.52	5183.39	5169.16	5183.16	10233	0	22
2026.03.11	22:00:00	5183.14	5183.54	5175.01	5176.01	4143	0	22
2026.03.12	00:00:00	5178.94	5183.48	5129.70	5138.90	9793	0	22
2026.03.12	01:00:00	5138.40	5157.84	5133.00	5134.10	10263	0	22
2026.03.12	02:00:00	5134.08	5161.48	5125.70	5152.81	15541	0	22
2026.03.12	03:00:00	5152.87	5172.75	5151.49	5168.55	19256	0	22
2026.03.12	04:00:00	5168.54	5175.11	5145.61	5150.59	16031	0	22
2026.03.12	05:00:00	5150.59	5155.57	5147.27	5153.13	11181	0	22
2026.03.12	06:00:00	5153.14	5153.91	5140.47	5142.54	6071	0	22
2026.03.12	07:00:00	5142.53	5157.58	5137.17	5154.51	11490	0	22
2026.03.12	08:00:00	5154.50	5170.31	5147.23	5166.17	12389	0	22
2026.03.12	09:00:00	5166.27	5185.07	5164.39	5181.96	10294	0	22
2026.03.12	10:00:00	5182.38	5189.72	5175.81	5178.03	12462	0	22
2026.03.12	11:00:00	5178.01	5190.28	5174.36	5188.25	11746	0	22
2026.03.12	12:00:00	5188.18	5191.68	5176.14	5182.30	12123	0	22
2026.03.12	13:00:00	5182.31	5183.81	5172.72	5178.99	11826	0	22
2026.03.12	14:00:00	5179.15	5185.51	5163.81	5181.36	18946	0	22
2026.03.12	15:00:00	5181.34	5186.07	5146.06	5151.14	27809	0	22
2026.03.12	16:00:00	5151.12	5163.61	5138.34	5142.81	28359	0	22
2026.03.12	17:00:00	5142.80	5144.87	5109.62	5132.35	27465	0	20
2026.03.12	18:00:00	5132.34	5138.04	5121.21	5123.38	22888	0	20
2026.03.12	19:00:00	5123.25	5129.60	5102.49	5105.24	21298	0	20
2026.03.12	20:00:00	5105.19	5112.52	5090.75	5094.39	18046	0	20
2026.03.12	21:00:00	5094.37	5096.75	5079.34	5084.60	18595	0	20
2026.03.12	22:00:00	5084.79	5090.46	5055.04	5079.05	11025	0	20
2026.03.13	00:00:00	5080.32	5096.19	5072.46	5095.90	7084	0	20
2026.03.13	01:00:00	5096.03	5101.20	5089.06	5098.00	8005	0	21
2026.03.13	02:00:00	5098.06	5115.31	5097.33	5113.66	9858	0	20
2026.03.13	03:00:00	5113.65	5124.28	5108.84	5124.22	16560	0	20
2026.03.13	04:00:00	5124.17	5128.49	5110.46	5112.02	12863	0	20
2026.03.13	05:00:00	5111.99	5116.67	5106.29	5115.57	9749	0	20
2026.03.13	06:00:00	5115.58	5117.86	5102.71	5104.22	7230	0	20
2026.03.13	07:00:00	5104.25	5111.08	5098.35	5103.04	11758	0	20
2026.03.13	08:00:00	5103.12	5107.71	5085.72	5088.25	18161	0	20
2026.03.13	09:00:00	5088.25	5094.10	5071.71	5085.12	16104	0	20
2026.03.13	10:00:00	5085.15	5087.93	5061.41	5087.34	17920	0	20
2026.03.13	11:00:00	5087.31	5097.15	5083.24	5089.57	13322	0	20
2026.03.13	12:00:00	5089.59	5098.31	5079.94	5094.87	11612	0	20
2026.03.13	13:00:00	5094.86	5107.74	5086.24	5107.67	11897	0	20
2026.03.13	14:00:00	5107.60	5121.66	5104.29	5118.19	18136	0	20
2026.03.13	15:00:00	5118.23	5121.14	5096.48	5101.47	24915	0	20
2026.03.13	16:00:00	5101.48	5107.83	5035.49	5041.65	29191	0	20
2026.03.13	17:00:00	5041.68	5071.22	5032.04	5034.65	29630	0	20
2026.03.13	18:00:00	5034.67	5053.00	5018.95	5045.88	27218	0	20
2026.03.13	19:00:00	5045.89	5063.76	5043.41	5046.33	21495	0	29
2026.03.13	20:00:00	5046.37	5051.64	5036.10	5046.42	18749	0	29
2026.03.13	21:00:00	5046.41	5049.72	5009.60	5016.30	19499	0	20
2026.03.13	22:00:00	5016.45	5024.92	5012.19	5020.24	7564	0	20
