run_id,case_id,base_case_id,phase,actual_symbol,canonical_symbol,timeframe,period_from,period_to,execution_status,report_artifact_status,total_trades,event_time,classification,regime,spread,spread_bucket,session_bucket,direction,direction_reason,entry_reference_price,outcome_label,limitation,source_file,lookahead_status,lookahead_limitation,lookahead_alignment_rule,lookahead_bar_time,h6_bars_available,h6_mfe,h6_mae,h6_future_high,h6_future_low,h6_future_close,h6_outcome_label,h6_touch_bar,h6_outcome_reason,h12_bars_available,h12_mfe,h12_mae,h12_future_high,h12_future_low,h12_future_close,h12_outcome_label,h12_touch_bar,h12_outcome_reason,h24_bars_available,h24_mfe,h24_mae,h24_future_high,h24_future_low,h24_future_close,h24_outcome_label,h24_touch_bar,h24_outcome_reason,h48_bars_available,h48_mfe,h48_mae,h48_future_high,h48_future_low,h48_future_close,h48_outcome_label,h48_touch_bar,h48_outcome_reason
run_20260707_172236,GOLD_HASH_H1_PAF_FIELD_VERIFY_AX_ax_field_verify_20260301_20260308,GOLD_HASH_H1_PAF_FIELD_VERIFY_AX,ax_field_verify_20260301_20260308,GOLD#,GOLD,H1,2026-03-01,2026-03-08,PASS,FOUND,0,2026.03.04 22:00:00,POSSIBLE_FIBO_PULLBACK,trend,31.0,NORMAL_SPREAD,OTHER,DIRECTION_UNKNOWN,fibo_pullback_without_clear_ema_direction_context,5137.84,DIRECTION_MISSING,diagnostic log direction context is unknown,ea_mirror.log,DIRECTION_MISSING,direction_context is missing or unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
run_20260707_172236,GOLD_HASH_H1_PAF_FIELD_VERIFY_AX_ax_field_verify_20260301_20260308,GOLD_HASH_H1_PAF_FIELD_VERIFY_AX,ax_field_verify_20260301_20260308,GOLD#,GOLD,H1,2026-03-01,2026-03-08,PASS,FOUND,0,2026.03.04 23:00:00,POSSIBLE_FIBO_PULLBACK,trend,28.0,NORMAL_SPREAD,OTHER,DIRECTION_UNKNOWN,fibo_pullback_without_clear_ema_direction_context,5134.67,DIRECTION_MISSING,diagnostic log direction context is unknown,ea_mirror.log,DIRECTION_MISSING,direction_context is missing or unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
run_20260707_172236,GOLD_HASH_H1_PAF_FIELD_VERIFY_AX_ax_field_verify_20260301_20260308,GOLD_HASH_H1_PAF_FIELD_VERIFY_AX,ax_field_verify_20260301_20260308,GOLD#,GOLD,H1,2026-03-01,2026-03-08,PASS,FOUND,0,2026.03.05 11:00:00,POSSIBLE_FIBO_PULLBACK,trend,27.0,NORMAL_SPREAD,LONDON,DIRECTION_UNKNOWN,fibo_pullback_without_clear_ema_direction_context,5165.51,DIRECTION_MISSING,diagnostic log direction context is unknown,ea_mirror.log,DIRECTION_MISSING,direction_context is missing or unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
run_20260707_172236,GOLD_HASH_H1_PAF_FIELD_VERIFY_AX_ax_field_verify_20260301_20260308,GOLD_HASH_H1_PAF_FIELD_VERIFY_AX,ax_field_verify_20260301_20260308,GOLD#,GOLD,H1,2026-03-01,2026-03-08,PASS,FOUND,0,2026.03.05 12:00:00,POSSIBLE_FIBO_PULLBACK,trend,27.0,NORMAL_SPREAD,LONDON,DIRECTION_UNKNOWN,fibo_pullback_without_clear_ema_direction_context,5160.91,DIRECTION_MISSING,diagnostic log direction context is unknown,ea_mirror.log,DIRECTION_MISSING,direction_context is missing or unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
run_20260707_172236,GOLD_HASH_H1_PAF_FIELD_VERIFY_AX_ax_field_verify_20260301_20260308,GOLD_HASH_H1_PAF_FIELD_VERIFY_AX,ax_field_verify_20260301_20260308,GOLD#,GOLD,H1,2026-03-01,2026-03-08,PASS,FOUND,0,2026.03.05 21:00:00,POSSIBLE_ZONE_REJECTION,trend,25.0,NORMAL_SPREAD,NEW_YORK,BUY_CONTEXT,bullish_rejection_from_support_zone,5069.40,DATA_MISSING,OHLC/tick lookahead data is not available in the current artifact,ea_mirror.log,JOINED,,exact event_time match; future bars strictly after event bar,2026-03-05 21:00:00,6,74.3,7.73,5143.7,5061.67,5126.31,DATA_MISSING,,atr is missing or invalid,12,74.3,7.73,5143.7,5061.67,5108.51,DATA_MISSING,,atr is missing or invalid,24,105.16,7.73,5174.56,5061.67,5153.26,DATA_MISSING,,atr is missing or invalid,48,129.27,54.65,5198.67,5014.75,5136.66,DATA_MISSING,,atr is missing or invalid
run_20260707_172236,GOLD_HASH_H1_PAF_FIELD_VERIFY_AX_ax_field_verify_20260301_20260308,GOLD_HASH_H1_PAF_FIELD_VERIFY_AX,ax_field_verify_20260301_20260308,GOLD#,GOLD,H1,2026-03-01,2026-03-08,PASS,FOUND,0,2026.03.05 22:00:00,POSSIBLE_ZONE_REJECTION,trend,25.0,NORMAL_SPREAD,OTHER,DIRECTION_UNKNOWN,zone_rejection_without_directional_candle_context,5065.94,DIRECTION_MISSING,diagnostic log direction context is unknown,ea_mirror.log,DIRECTION_MISSING,direction_context is missing or unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
run_20260707_172236,GOLD_HASH_H1_PAF_FIELD_VERIFY_AX_ax_field_verify_20260301_20260308,GOLD_HASH_H1_PAF_FIELD_VERIFY_AX,ax_field_verify_20260301_20260308,GOLD#,GOLD,H1,2026-03-01,2026-03-08,PASS,FOUND,0,2026.03.06 02:00:00,POSSIBLE_FIBO_PULLBACK,trend,25.0,NORMAL_SPREAD,ASIA,SELL_CONTEXT,fibo_pullback_with_bearish_ema_context,5086.20,DATA_MISSING,OHLC/tick lookahead data is not available in the current artifact,ea_mirror.log,JOINED,,exact event_time match; future bars strictly after event bar,2026-03-06 02:00:00,6,19.93,57.5,5143.7,5066.27,5115.75,DATA_MISSING,,atr is missing or invalid,12,23.43,57.5,5143.7,5062.77,5083.17,DATA_MISSING,,atr is missing or invalid,24,57.76,112.47,5198.67,5028.44,5049.89,DATA_MISSING,,atr is missing or invalid,48,71.45,112.47,5198.67,5014.75,5184.28,DATA_MISSING,,atr is missing or invalid
run_20260707_172236,GOLD_HASH_H1_PAF_FIELD_VERIFY_AX_ax_field_verify_20260301_20260308,GOLD_HASH_H1_PAF_FIELD_VERIFY_AX,ax_field_verify_20260301_20260308,GOLD#,GOLD,H1,2026-03-01,2026-03-08,PASS,FOUND,0,2026.03.06 03:00:00,POSSIBLE_FIBO_PULLBACK,trend,25.0,NORMAL_SPREAD,ASIA,SELL_CONTEXT,fibo_pullback_with_bearish_ema_context,5084.59,DATA_MISSING,OHLC/tick lookahead data is not available in the current artifact,ea_mirror.log,JOINED,,exact event_time match; future bars strictly after event bar,2026-03-06 03:00:00,6,-21.1,56.87,5141.46,5105.69,5119.54,DATA_MISSING,,atr is missing or invalid,12,21.82,56.87,5141.46,5062.77,5084.97,DATA_MISSING,,atr is missing or invalid,24,69.84,114.08,5198.67,5014.75,5070.08,DATA_MISSING,,atr is missing or invalid,48,69.84,114.08,5198.67,5014.75,5165.98,DATA_MISSING,,atr is missing or invalid
run_20260707_172236,GOLD_HASH_H1_PAF_FIELD_VERIFY_AX_ax_field_verify_20260301_20260308,GOLD_HASH_H1_PAF_FIELD_VERIFY_AX,ax_field_verify_20260301_20260308,GOLD#,GOLD,H1,2026-03-01,2026-03-08,PASS,FOUND,0,2026.03.06 04:00:00,POSSIBLE_FIBO_PULLBACK,trend,22.0,NORMAL_SPREAD,ASIA,SELL_CONTEXT,fibo_pullback_with_bearish_ema_context,5134.62,DATA_MISSING,OHLC/tick lookahead data is not available in the current artifact,ea_mirror.log,JOINED,,exact event_time match; future bars strictly after event bar,2026-03-06 04:00:00,6,38.31,6.84,5141.46,5096.31,5108.51,DATA_MISSING,,atr is missing or invalid,12,71.85,6.84,5141.46,5062.77,5130.14,DATA_MISSING,,atr is missing or invalid,24,119.87,64.05,5198.67,5014.75,5094.54,DATA_MISSING,,atr is missing or invalid,48,119.87,64.05,5198.67,5014.75,5157.68,DATA_MISSING,,atr is missing or invalid
run_20260707_172236,GOLD_HASH_H1_PAF_FIELD_VERIFY_AX_ax_field_verify_20260301_20260308,GOLD_HASH_H1_PAF_FIELD_VERIFY_AX,ax_field_verify_20260301_20260308,GOLD#,GOLD,H1,2026-03-01,2026-03-08,PASS,FOUND,0,2026.03.06 09:00:00,POSSIBLE_FIBO_PULLBACK,trend,24.0,NORMAL_SPREAD,LONDON,SELL_CONTEXT,fibo_pullback_with_bearish_ema_context,5115.75,DATA_MISSING,OHLC/tick lookahead data is not available in the current artifact,ea_mirror.log,JOINED,,exact event_time match; future bars strictly after event bar,2026-03-06 09:00:00,6,52.98,14.96,5130.71,5062.77,5084.97,DATA_MISSING,,atr is missing or invalid,12,52.98,58.81,5174.56,5062.77,5159.67,DATA_MISSING,,atr is missing or invalid,24,101.0,82.92,5198.67,5014.75,5099.08,DATA_MISSING,,atr is missing or invalid,48,101.0,82.92,5198.67,5014.75,5183.34,DATA_MISSING,,atr is missing or invalid
run_20260707_172236,GOLD_HASH_H1_PAF_FIELD_VERIFY_AX_ax_field_verify_20260301_20260308,GOLD_HASH_H1_PAF_FIELD_VERIFY_AX,ax_field_verify_20260301_20260308,GOLD#,GOLD,H1,2026-03-01,2026-03-08,PASS,FOUND,0,2026.03.06 10:00:00,POSSIBLE_FIBO_PULLBACK,trend,24.0,NORMAL_SPREAD,LONDON,SELL_CONTEXT,fibo_pullback_with_bearish_ema_context,5119.54,DATA_MISSING,OHLC/tick lookahead data is not available in the current artifact,ea_mirror.log,JOINED,,exact event_time match; future bars strictly after event bar,2026-03-06 10:00:00,6,56.77,12.37,5131.91,5062.77,5130.14,DATA_MISSING,,atr is missing or invalid,12,56.77,55.02,5174.56,5062.77,5153.26,DATA_MISSING,,atr is missing or invalid,24,104.79,79.13,5198.67,5014.75,5096.49,DATA_MISSING,,atr is missing or invalid,48,104.79,79.13,5198.67,5014.75,5182.44,DATA_MISSING,,atr is missing or invalid
run_20260707_172236,GOLD_HASH_H1_PAF_FIELD_VERIFY_AX_ax_field_verify_20260301_20260308,GOLD_HASH_H1_PAF_FIELD_VERIFY_AX,ax_field_verify_20260301_20260308,GOLD#,GOLD,H1,2026-03-01,2026-03-08,PASS,FOUND,0,2026.03.06 11:00:00,POSSIBLE_FIBO_PULLBACK,trend,28.0,NORMAL_SPREAD,LONDON,SELL_CONTEXT,fibo_pullback_with_bearish_ema_context,5108.51,DATA_MISSING,OHLC/tick lookahead data is not available in the current artifact,ea_mirror.log,JOINED,,exact event_time match; future bars strictly after event bar,2026-03-06 11:00:00,6,45.74,63.08,5171.59,5062.77,5141.77,DATA_MISSING,,atr is missing or invalid,12,45.74,67.09,5175.6,5062.77,5173.19,DATA_MISSING,,atr is missing or invalid,24,93.76,90.16,5198.67,5014.75,5105.17,DATA_MISSING,,atr is missing or invalid,48,93.76,90.16,5198.67,5014.75,5177.15,DATA_MISSING,,atr is missing or invalid
run_20260707_172236,GOLD_HASH_H1_PAF_FIELD_VERIFY_AX_ax_field_verify_20260301_20260308,GOLD_HASH_H1_PAF_FIELD_VERIFY_AX,ax_field_verify_20260301_20260308,GOLD#,GOLD,H1,2026-03-01,2026-03-08,PASS,FOUND,0,2026.03.06 14:00:00,POSSIBLE_FIBO_PULLBACK,trend,25.0,NORMAL_SPREAD,OVERLAP,SELL_CONTEXT,fibo_pullback_with_bearish_ema_context,5076.91,DATA_MISSING,OHLC/tick lookahead data is not available in the current artifact,ea_mirror.log,JOINED,,exact event_time match; future bars strictly after event bar,2026-03-06 14:00:00,6,11.42,94.68,5171.59,5065.49,5161.08,DATA_MISSING,,atr is missing or invalid,12,48.47,121.76,5198.67,5028.44,5049.89,DATA_MISSING,,atr is missing or invalid,24,62.16,121.76,5198.67,5014.75,5094.95,DATA_MISSING,,atr is missing or invalid,48,62.16,151.75,5228.66,5014.75,5205.37,DATA_MISSING,,atr is missing or invalid
run_20260707_172236,GOLD_HASH_H1_PAF_FIELD_VERIFY_AX_ax_field_verify_20260301_20260308,GOLD_HASH_H1_PAF_FIELD_VERIFY_AX,ax_field_verify_20260301_20260308,GOLD#,GOLD,H1,2026-03-01,2026-03-08,PASS,FOUND,0,2026.03.06 15:00:00,POSSIBLE_FIBO_PULLBACK,trend,27.0,NORMAL_SPREAD,OVERLAP,SELL_CONTEXT,fibo_pullback_with_bearish_ema_context,5083.17,DATA_MISSING,OHLC/tick lookahead data is not available in the current artifact,ea_mirror.log,JOINED,,exact event_time match; future bars strictly after event bar,2026-03-06 15:00:00,6,2.13,91.39,5174.56,5081.04,5159.67,DATA_MISSING,,atr is missing or invalid,12,68.42,115.5,5198.67,5014.75,5070.08,DATA_MISSING,,atr is missing or invalid,24,68.42,115.5,5198.67,5014.75,5074.11,DATA_MISSING,,atr is missing or invalid,48,68.42,145.49,5228.66,5014.75,5206.68,DATA_MISSING,,atr is missing or invalid
run_20260707_172236,GOLD_HASH_H1_PAF_FIELD_VERIFY_AX_ax_field_verify_20260301_20260308,GOLD_HASH_H1_PAF_FIELD_VERIFY_AX,ax_field_verify_20260301_20260308,GOLD#,GOLD,H1,2026-03-01,2026-03-08,PASS,FOUND,0,2026.03.06 16:00:00,POSSIBLE_FIBO_PULLBACK,trend,25.0,NORMAL_SPREAD,OVERLAP,SELL_CONTEXT,fibo_pullback_with_bearish_ema_context,5084.97,DATA_MISSING,OHLC/tick lookahead data is not available in the current artifact,ea_mirror.log,JOINED,,exact event_time match; future bars strictly after event bar,2026-03-06 16:00:00,6,-41.0,89.59,5174.56,5125.97,5153.26,DATA_MISSING,,atr is missing or invalid,12,70.22,113.7,5198.67,5014.75,5094.54,DATA_MISSING,,atr is missing or invalid,24,70.22,113.7,5198.67,5014.75,5093.77,DATA_MISSING,,atr is missing or invalid,48,70.22,153.54,5238.51,5014.75,5228.55,DATA_MISSING,,atr is missing or invalid
run_20260707_172236,GOLD_HASH_H1_PAF_FIELD_VERIFY_AX_ax_field_verify_20260301_20260308,GOLD_HASH_H1_PAF_FIELD_VERIFY_AX,ax_field_verify_20260301_20260308,GOLD#,GOLD,H1,2026-03-01,2026-03-08,PASS,FOUND,0,2026.03.06 18:00:00,POSSIBLE_ZONE_REJECTION,trend,25.0,NORMAL_SPREAD,NEW_YORK,DIRECTION_UNKNOWN,zone_rejection_without_directional_candle_context,5141.77,DIRECTION_MISSING,diagnostic log direction context is unknown,ea_mirror.log,DIRECTION_MISSING,direction_context is missing or unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
run_20260707_172236,GOLD_HASH_H1_PAF_FIELD_VERIFY_AX_ax_field_verify_20260301_20260308,GOLD_HASH_H1_PAF_FIELD_VERIFY_AX,ax_field_verify_20260301_20260308,GOLD#,GOLD,H1,2026-03-01,2026-03-08,PASS,FOUND,0,2026.03.06 22:00:00,POSSIBLE_ZONE_REJECTION,trend,29.0,NORMAL_SPREAD,OTHER,SELL_CONTEXT,bearish_rejection_from_resistance_zone,5159.67,DATA_MISSING,OHLC/tick lookahead data is not available in the current artifact,ea_mirror.log,JOINED,,exact event_time match; future bars strictly after event bar,2026-03-06 22:00:00,6,144.92,39.0,5198.67,5014.75,5094.54,DATA_MISSING,,atr is missing or invalid,12,144.92,39.0,5198.67,5014.75,5096.49,DATA_MISSING,,atr is missing or invalid,24,144.92,39.0,5198.67,5014.75,5136.66,DATA_MISSING,,atr is missing or invalid,48,144.92,78.84,5238.51,5014.75,5189.18,DATA_MISSING,,atr is missing or invalid
